"id","textDisplay","authorDisplayName","publishedAt"
"UgxsSzIJsepjvCjthCV4AaABAg","I&#39;m from brazil, i like a lot this podcast, learn New words, now i need to continued studying, but is Hard to me😅","@MatheusNazcimento","2024-02-02T21:52:37Z"
"UgxNW60rpu8tbwG3MtZ4AaABAg","Love from Bangladesh 🇧🇩","@hosneyarabegum1897","2024-02-02T14:56:52Z"
"Ugy1VusQEkf4D5_GHTR4AaABAg","I am from Bangladesh,,,, I follow this channel,,,so that my english spoken skills improve day by day,,,,,thank you very much,,,","@mdmetho3243","2024-02-02T14:34:18Z"
"UgzBAxY7bmM9cwJ1_Up4AaABAg","I am from Kazakhstan🇰🇿","@erboltube728","2024-02-02T08:23:59Z"
"UgyfdEi2QI1VGBXjQqh4AaABAg","Listening from Uzbekistan 🇺🇿","@user-wt8hq8js3e","2024-02-01T12:46:36Z"
"UgzYWtkPJ9uWKlMwNth4AaABAg","King is we are pupil&#39;s  we have not goli barud and ❤in 🇳🇵","@premsubedi3048","2024-02-01T10:17:52Z"
"Ugzebjh04y2HcuW0D1h4AaABAg","Not cuminist  only  well enough loved  too in nepal not no again  suport  here  nepal so jay democrecy  with kindom  want Nepali  pupil&#39;s  nepal is clear real so jay nepal❤ jay nepal","@premsubedi3048","2024-02-01T10:16:52Z"
"UgzwYKiyTbpGlJvpJhV4AaABAg","Whate is at that time 🇳🇵?","@premsubedi3048","2024-02-01T10:11:52Z"
"Ugy62C76BBZmk1P-Hx14AaABAg","I am from uzbekistan too 🇺🇿","@user-sn8js1gf1o","2024-01-30T18:06:14Z"
"UgybRYnRGmtmXaBhjmJ4AaABAg","From Uzbekistan🇺🇿<br>thanks BBC for information 😊","@r.bakhramovna","2024-01-30T15:14:56Z"
"UgwhAwkDUjWmp83Brcx4AaABAg","I think this  only use uzbek peoples this channel","@user-pj4fh7lc4h","2024-01-29T15:11:49Z"
"Ugyq3f5iMLGsqbFvvmt4AaABAg","Hello to uzbeks🖐️","@user-et4wd7lr4t","2024-01-28T18:45:44Z"
"UgwM47zgKEkO5EZlK354AaABAg","Thanks from Pakistan","@MuhammadUllahOfficial","2024-01-26T03:44:19Z"
"UgznjlQCuIeWNcuTCix4AaABAg","Quality videos to watch","@ayujohana6624","2024-01-25T13:12:02Z"
"Ugz4aCfANJ0iXba8Lzl4AaABAg","I&#39;m from Uzbekistan","@user-yt7vb3cq9o","2024-01-23T22:54:25Z"
"Ugz3fPv_HDwG7VAr43l4AaABAg","who can help to understand what English they use american or british","@Levon17997","2024-01-21T11:08:21Z"
"Ugy5vQzwjxxDs-080IV4AaABAg","I from Uzbekistan🇺🇿","@AbdulazizSamijonov-wj3gt","2024-01-18T14:11:47Z"
"UgyqQn5Y1IcMUAxiSRB4AaABAg","I&#39;m from Kazakhstan 🇰🇿","@BEKAshowkz","2024-01-18T11:00:27Z"
